genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['fado'],0.508,0.279,0.573,130.449,0,0.0,0,Instrumental / Acoustic,12.797796207982742,-0.2040678779274021
['fado'],0.396,0.279,0.641,147.006,0,0.0,0,Instrumental / Acoustic,29.354879461683055,-0.21298868083618105
['fado'],0.401,0.274,0.174,124.292,0,0.0,0,Instrumental / Acoustic,6.640493251667493,-0.5305832688025444
['bangla'],0.488,0.438,0.822,140.468,0,0.0,1,Instrumental / Acoustic,22.817268924105605,0.053860633467450625
['cabaret'],0.586,0.183,0.372,73.392,0,0.0,0,Instrumental / Acoustic,-44.259471839369866,-0.30193084454313834
['cabaret'],0.531,0.203,0.28,90.995,0,0.0,0,Instrumental / Acoustic,-26.656527876632396,-0.4024489215947738
['swedish jazz'],0.589,0.0826,0.782,170.656,0,0.0,0,Instrumental / Acoustic,53.00455079027097,-0.19528387398164793
['chanson'],0.604,0.524,0.805,147.451,1,0.0,1,Mainstream / Party,29.800326226350478,0.11773954115734164
['chanson'],0.4,0.563,0.44,96.427,0,0.0,1,Instrumental / Acoustic,-21.22374630298043,-0.1225984064793949
['chanson'],0.332,0.406,0.196,97.602,0,0.0,1,Instrumental / Acoustic,-20.049190300730857,-0.4199627080012525
['chanson'],0.351,0.309,0.194,119.06,0,0.0,0,Instrumental / Acoustic,1.4086014080841949,-0.5034098964336832
['chanson'],0.636,0.494,0.604,112.027,1,0.0,1,Mainstream / Party,-5.623852318674793,0.011952290041682856
['jazz saxophone'],0.67,0.493,0.777,102.612,1,0.0,1,Mainstream / Party,-15.038698046533625,0.16549094083757243
['traditional country'],0.649,0.255,0.515,127.138,0,0.0,0,Instrumental / Acoustic,9.486644725370226,-0.21188276852821886
['nashville sound'],0.717,0.457,0.882,97.41,1,0.0,1,Mainstream / Party,-20.240675485895537,0.24568283477043495
['flick hop'],0.223,0.0336,0.298,86.798,0,0.0,0,Instrumental / Acoustic,-30.85363460647693,-0.5791168471378587
