genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['psychedelic rock'],0.708,0.339,0.362,107.631,2,0.0,,Happy / Dance
['psychedelic rock'],0.739,0.366,0.55,118.468,2,0.0,,Happy / Dance
['psychedelic rock'],0.702,0.275,0.57,135.395,2,0.0,,Happy / Dance
['psychedelic rock'],0.714,0.344,0.384,113.481,2,0.0,2.0,Happy / Dance
['psychedelic rock'],0.743,0.352,0.548,102.49,2,0.0,,Happy / Dance
['psychedelic rock'],0.725,0.28,0.55,118.465,2,0.0,,Happy / Dance
['psychedelic rock'],0.712,0.349,0.459,110.066,2,0.0,,Happy / Dance
['psychedelic rock'],0.784,0.321,0.434,102.453,2,0.0,,Happy / Dance
['psychedelic rock'],0.709,0.327,0.519,132.46,2,0.0,,Happy / Dance
['psychedelic rock'],0.72,0.319,0.618,123.547,2,0.0,,Happy / Dance
['psychedelic rock'],0.718,0.317,0.585,118.588,2,0.0,,Happy / Dance
['psychedelic rock'],0.714,0.317,0.562,98.674,2,0.0,,Happy / Dance
['psychedelic rock'],0.724,0.317,0.542,74.414,2,0.0,,Happy / Dance
['psychedelic rock'],0.737,0.347,0.496,74.669,2,0.0,2.0,Happy / Dance
['psychedelic rock'],0.712,0.34,0.426,129.664,2,0.0,,Happy / Dance
['psychedelic rock'],0.769,0.336,0.35,103.402,2,0.0,2.0,Happy / Dance
['psychedelic rock'],0.754,0.49,0.576,109.374,2,0.0,,Happy / Dance
['psychedelic rock'],0.71,0.229,0.601,106.405,2,0.0,,Happy / Dance
['psychedelic rock'],0.703,0.22,0.631,105.55,2,0.0,,Happy / Dance
['psychedelic rock'],0.722,0.249,0.491,117.3,2,0.0,,Happy / Dance
['psychedelic rock'],0.741,0.23,0.503,99.182,2,0.0,,Happy / Dance
['psychedelic rock'],0.709,0.238,0.637,131.06,2,0.0,,Happy / Dance
['psychedelic rock'],0.749,0.421,0.751,92.139,2,0.0,,Happy / Dance
['psychedelic rock'],0.713,0.437,0.804,127.876,2,0.0,2.0,Happy / Dance
['psychedelic rock'],0.716,0.459,0.766,124.513,2,0.0,,Happy / Dance
['psychedelic rock'],0.786,0.404,0.898,108.239,2,0.0,,Happy / Dance
['psychedelic rock'],0.708,0.457,0.47,130.516,2,0.0,,Happy / Dance
['psychedelic rock'],0.752,0.408,0.832,85.43,2,0.0,,Happy / Dance
